epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,362.698,1.75861,3.27326,0.0023,0.44223,0.26336,0.22098,0.13921,1.4757,2.2035,0.00284,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,657.893,1.68585,2.14083,0.00214,0.4644,0.31247,0.30504,0.19621,1.44771,1.75156,0.0028,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252
3,939.102,1.70072,1.77346,0.00214,0.42012,0.37137,0.33401,0.21211,1.47681,1.49305,0.00287,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393
4,1214.56,1.69152,1.55921,0.00215,0.48348,0.37962,0.36913,0.2281,1.46243,1.38868,0.00285,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1488.33,1.65018,1.4363,0.00215,0.48659,0.41651,0.39394,0.24909,1.45187,1.33769,0.00284,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1763.31,1.65657,1.38666,0.00209,0.52225,0.42243,0.41895,0.26432,1.44285,1.26595,0.00278,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2037.19,1.65117,1.34395,0.00206,0.51038,0.4192,0.42532,0.27544,1.42075,1.23913,0.00282,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2312.4,1.62644,1.3051,0.00204,0.53587,0.43901,0.43193,0.27619,1.41931,1.21816,0.0028,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2587.09,1.62993,1.29024,0.00206,0.52765,0.45042,0.44146,0.28485,1.38413,1.20139,0.00271,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2860,1.62546,1.27126,0.00203,0.53906,0.44671,0.44731,0.28622,1.41512,1.16446,0.00279,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3134.86,1.60708,1.25596,0.00201,0.57424,0.43075,0.4477,0.28604,1.40983,1.17759,0.00274,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3408.82,1.6093,1.24713,0.00201,0.56417,0.4373,0.45796,0.29819,1.38633,1.16284,0.0027,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3684.46,1.59431,1.22772,0.002,0.54978,0.45137,0.45564,0.29822,1.3861,1.13724,0.00272,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3965.05,1.59136,1.21668,0.00198,0.57373,0.45687,0.4643,0.30142,1.38908,1.14388,0.00271,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4240.41,1.58603,1.19329,0.00197,0.58109,0.45622,0.47291,0.30844,1.37319,1.13373,0.00266,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
