epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,449.934,1.60646,2.28148,0.00201,0.47981,0.41073,0.39671,0.26217,1.34019,1.22905,0.0025,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,837.815,1.53461,1.3279,0.00187,0.50934,0.44375,0.43581,0.29021,1.32853,1.17871,0.00251,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252
3,1215.55,1.54903,1.29238,0.0019,0.51379,0.43651,0.4281,0.2829,1.33481,1.19793,0.00253,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393
4,1587,1.545,1.24794,0.0019,0.53615,0.46709,0.46281,0.29887,1.36643,1.15196,0.00264,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1956.79,1.50656,1.19092,0.00191,0.57303,0.46072,0.47403,0.31189,1.34285,1.13326,0.00259,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2325.31,1.51141,1.16325,0.00185,0.57898,0.48155,0.50323,0.32934,1.32223,1.08586,0.00252,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2694.63,1.50638,1.1307,0.00182,0.58377,0.49124,0.5086,0.33494,1.32421,1.04292,0.00255,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3064.11,1.48428,1.09817,0.00181,0.59747,0.50972,0.52358,0.34696,1.30824,1.02094,0.00253,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3432.82,1.48351,1.09116,0.00182,0.586,0.51402,0.52323,0.34836,1.29765,1.03524,0.00251,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3799.98,1.47885,1.07393,0.00179,0.58798,0.49832,0.51651,0.3439,1.29807,1.04323,0.00249,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4165.84,1.46078,1.05504,0.00177,0.5978,0.50319,0.53062,0.35157,1.30797,1.01818,0.0025,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4533.16,1.46271,1.04546,0.00177,0.60481,0.51801,0.54331,0.3582,1.28418,0.99337,0.00245,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4901.07,1.45208,1.0301,0.00176,0.59612,0.51143,0.53212,0.35429,1.28299,0.99821,0.00245,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5271.15,1.44791,1.01972,0.00174,0.61857,0.52772,0.55192,0.37091,1.27549,0.98299,0.00242,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,5639.37,1.43826,0.99545,0.00173,0.60977,0.51998,0.54328,0.36118,1.2733,0.98658,0.0024,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,6016.71,1.42568,0.99573,0.00174,0.61468,0.5272,0.54235,0.36313,1.27155,0.98646,0.00242,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,6396.41,1.42649,0.9887,0.00171,0.62394,0.51752,0.54217,0.3653,1.28492,0.97501,0.00245,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
